                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2901,                 4.1678,                 4.1775,                 0.0036,                0.90499,                0.00825,                0.00235,                 4.0006,                 4.0877,                 4.0872,             0.00036384,             0.00036384,             0.00036384
                      2,                  2.969,                 3.8887,                 3.8082,                0.20614,                0.51402,                0.03261,                0.01195,                 3.3542,                 97.345,                 4.4572,              0.0007269,              0.0007269,              0.0007269
                      3,                 2.4818,                 3.6095,                 3.2492,                0.06724,                0.25735,                0.02922,                0.00972,                 2.8292,                 9.1849,                 3.4188,              0.0010826,              0.0010826,              0.0010826
                      4,                 2.1406,                 3.3423,                 2.8273,                0.05622,                 0.0869,                0.04945,                0.01786,                 2.0739,                 3.6829,                 2.7364,               0.001078,               0.001078,               0.001078
                      5,                 1.8467,                 2.9846,                 2.4683,                0.74471,                0.25043,                 0.2148,                0.09002,                 1.7459,                 3.0346,                 2.3203,               0.001078,               0.001078,               0.001078
                      6,                 1.6868,                 2.7309,                 2.2841,                0.15249,                0.44841,                0.17737,                0.10459,                 1.5294,                 5.9399,                 2.0416,               0.001067,               0.001067,               0.001067
                      7,                 1.5754,                 2.5701,                 2.1608,                0.24576,                0.36472,                0.26642,                 0.1513,                 1.5048,                 2.5638,                   1.98,               0.001056,               0.001056,               0.001056
                      8,                 1.4662,                 2.3832,                 2.0102,                 0.3968,                0.40264,                0.28236,                 0.1634,                 1.4307,                 2.5155,                 1.8162,               0.001045,               0.001045,               0.001045
                      9,                 1.3684,                 2.2659,                 1.9098,                0.17135,                 0.5841,                0.23952,                0.16207,                 1.1642,                  2.444,                 1.6246,               0.001034,               0.001034,               0.001034
                     10,                 1.2977,                 2.1283,                 1.8255,                0.23097,                0.53565,                0.33356,                 0.1911,                 1.5207,                 2.2437,                 1.7924,               0.001023,               0.001023,               0.001023
                     11,                 1.2251,                 2.0298,                 1.7447,                0.27128,                0.55011,                0.41058,                0.29166,                 1.1729,                 2.1306,                 1.5621,               0.001012,               0.001012,               0.001012
                     12,                 1.1482,                 1.9433,                 1.6724,                0.43817,                0.51732,                0.49369,                 0.3427,                 1.1069,                 1.9221,                  1.547,               0.001001,               0.001001,               0.001001
                     13,                 1.1203,                 1.9088,                 1.6465,                0.35177,                0.42566,                0.39035,                0.28663,                0.96624,                 2.0423,                  1.363,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.1039,                 1.8613,                 1.6302,                0.24961,                0.56206,                0.40912,                0.29512,                 1.0183,                  1.963,                  1.475,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.0788,                 1.7818,                 1.6057,                0.40136,                 0.6062,                0.55863,                0.41634,                 1.0045,                 1.5788,                 1.3887,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0117,                   1.71,                 1.5444,                 0.5012,                0.56854,                0.59471,                0.44461,                0.90924,                  1.697,                 1.2985,             0.00095702,             0.00095702,             0.00095702
                     17,                 0.9696,                 1.6686,                 1.5138,                0.42242,                0.63919,                0.53618,                0.38121,                 1.0437,                 1.7919,                 1.3966,             0.00094602,             0.00094602,             0.00094602
                     18,                0.99063,                  1.635,                 1.5191,                0.57921,                0.63712,                0.61402,                0.45407,                0.86597,                 1.5829,                 1.2573,             0.00093502,             0.00093502,             0.00093502
                     19,                0.97089,                 1.6179,                 1.5147,                0.55976,                0.66509,                0.62874,                0.47921,                0.91371,                 1.5793,                 1.2556,             0.00092402,             0.00092402,             0.00092402
                     20,                  0.963,                 1.5799,                   1.49,                0.45943,                 0.6762,                0.59773,                0.45066,                0.99451,                 1.5275,                  1.269,             0.00091302,             0.00091302,             0.00091302
                     21,                0.92635,                 1.5496,                 1.4449,                0.50436,                0.69557,                0.65677,                0.49158,                0.83493,                 1.3965,                 1.1528,             0.00090202,             0.00090202,             0.00090202
                     22,                0.92801,                 1.5504,                 1.4668,                0.48212,                0.70997,                0.61976,                0.46464,                0.95434,                 1.7702,                 1.2718,             0.00089102,             0.00089102,             0.00089102
                     23,                0.90907,                 1.5017,                 1.4385,                0.52282,                0.64326,                0.63524,                0.51364,                0.77263,                 1.4371,                 1.0933,             0.00088002,             0.00088002,             0.00088002
                     24,                0.87725,                 1.4564,                 1.4058,                0.50955,                0.63035,                0.62747,                0.48105,                0.89508,                 1.6281,                 1.1988,             0.00086902,             0.00086902,             0.00086902
                     25,                0.86768,                 1.4707,                 1.4074,                0.50521,                0.74594,                0.63742,                0.50996,                 0.8231,                 1.6128,                 1.1402,             0.00085803,             0.00085803,             0.00085803
                     26,                0.84891,                 1.4361,                 1.4033,                0.52224,                 0.6958,                0.63108,                 0.4756,                0.93191,                  1.589,                 1.1709,             0.00084703,             0.00084703,             0.00084703
