                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2901,                 4.1678,                 4.1775,                 0.0036,                0.90499,                0.00825,                0.00235,                 4.0006,                 4.0877,                 4.0872,             0.00036384,             0.00036384,             0.00036384
                      2,                 2.9535,                 3.8921,                 3.8044,                0.80498,                0.13043,                0.04666,                0.01363,                 3.3552,                  33.57,                 4.4203,             0.00071963,             0.00071963,             0.00071963
                      3,                 2.4586,                 3.5939,                 3.2214,                0.00293,                0.68511,                0.00685,                0.00154,                 3.1746,                 8.4817,                 3.5618,              0.0010608,              0.0010608,              0.0010608
                      4,                 2.1409,                 3.3198,                 2.7969,                0.47744,                0.37783,                0.12576,                0.04939,                 2.0502,                 9.8193,                 3.0657,               0.001045,               0.001045,               0.001045
                      5,                  1.873,                 2.9703,                 2.4719,                0.23118,                 0.3677,                0.24779,                0.11479,                 1.8748,                  2.824,                 2.3649,               0.001045,               0.001045,               0.001045
                      6,                 1.6785,                 2.7522,                 2.2762,                0.11559,                0.39567,                0.14436,                0.09032,                 1.5956,                 3.7778,                 2.0005,               0.001023,               0.001023,               0.001023
                      7,                 1.5665,                  2.577,                 2.1719,                 0.2458,                0.39615,                0.27612,                0.14724,                 1.4985,                 2.6129,                 1.8984,               0.001001,               0.001001,               0.001001
                      8,                 1.4565,                 2.4045,                 2.0143,                0.25449,                0.38804,                 0.3041,                0.17034,                 1.5411,                 2.3328,                 1.8968,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.3644,                 2.3063,                 1.9261,                0.28693,                0.46146,                0.30889,                0.20122,                 1.2566,                 2.8556,                 1.6253,             0.00095702,             0.00095702,             0.00095702
                     10,                 1.2737,                 2.1717,                  1.834,                0.26518,                0.53779,                0.30987,                0.18647,                 1.4063,                 2.1787,                 1.7472,             0.00093502,             0.00093502,             0.00093502
                     11,                 1.2272,                 2.0706,                 1.7688,                0.21188,                0.39265,                0.31211,                0.22374,                  1.141,                 2.4093,                 1.5885,             0.00091302,             0.00091302,             0.00091302
                     12,                 1.1575,                 1.9828,                 1.6961,                0.29134,                0.55761,                0.40283,                0.25749,                 1.1069,                 2.0782,                 1.4861,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.1346,                  1.955,                 1.6732,                0.30564,                0.58546,                0.43527,                0.30728,                0.96184,                 2.0244,                 1.3718,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.0861,                 1.8947,                 1.6386,                0.24272,                0.44147,                0.33869,                0.24421,                 0.9989,                 2.1433,                 1.3913,             0.00084703,             0.00084703,             0.00084703
                     15,                  1.059,                 1.8339,                 1.6081,                0.38265,                0.51228,                0.45691,                0.32759,                0.93814,                 1.7279,                 1.2935,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.0105,                 1.7788,                 1.5509,                0.36472,                0.55231,                0.48498,                0.33466,                 1.0475,                 2.0376,                 1.3633,             0.00080303,             0.00080303,             0.00080303
                     17,                0.96434,                 1.7218,                 1.5251,                0.28048,                0.65849,                0.47166,                0.36163,                0.92869,                 1.6959,                 1.3112,             0.00078103,             0.00078103,             0.00078103
                     18,                0.97176,                 1.6874,                 1.5346,                0.37218,                0.68582,                0.49311,                0.35204,                0.94046,                 1.5824,                 1.2831,             0.00075904,             0.00075904,             0.00075904
                     19,                0.96155,                 1.6793,                 1.5208,                0.39294,                0.73514,                0.49644,                0.38732,                0.82994,                 1.7407,                   1.22,             0.00073704,             0.00073704,             0.00073704
                     20,                0.94215,                 1.6058,                 1.4942,                0.46645,                0.72414,                0.58325,                0.44672,                0.92306,                 1.5604,                 1.2545,             0.00071504,             0.00071504,             0.00071504
                     21,                0.91482,                 1.5693,                 1.4502,                0.46979,                0.62961,                0.59629,                0.47004,                0.82009,                 1.5772,                 1.1956,             0.00069304,             0.00069304,             0.00069304
                     22,                0.89209,                 1.5541,                 1.4531,                 0.5687,                0.59803,                0.64458,                0.49881,                0.85969,                 1.6497,                 1.2111,             0.00067104,             0.00067104,             0.00067104
                     23,                0.88982,                 1.5321,                 1.4446,                0.42012,                0.69913,                0.57158,                0.43304,                 0.8961,                 1.6163,                  1.205,             0.00064905,             0.00064905,             0.00064905
                     24,                0.86785,                  1.481,                 1.4144,                0.54277,                 0.6429,                0.57674,                0.42966,                 1.0004,                 1.6299,                 1.2679,             0.00062705,             0.00062705,             0.00062705
                     25,                0.86434,                 1.4944,                 1.4193,                 0.4914,                0.74592,                0.61084,                0.47563,                0.80206,                 1.7669,                 1.1428,             0.00060505,             0.00060505,             0.00060505
                     26,                0.83612,                 1.4625,                 1.4137,                0.53883,                0.74184,                0.63343,                0.49084,                0.85699,                  1.416,                 1.1853,             0.00058305,             0.00058305,             0.00058305
                     27,                0.84564,                 1.4285,                 1.3979,                0.63733,                0.69441,                0.72407,                 0.5397,                0.90921,                 1.3333,                 1.2127,             0.00056105,             0.00056105,             0.00056105
                     28,                0.82762,                 1.4231,                 1.3876,                0.59875,                 0.6974,                0.71797,                 0.5666,                0.78593,                 1.3926,                 1.0944,             0.00053906,             0.00053906,             0.00053906
                     29,                0.81066,                 1.4078,                 1.3773,                0.59583,                0.78013,                0.73155,                0.57005,                0.78084,                  1.398,                 1.1165,             0.00051706,             0.00051706,             0.00051706
                     30,                0.78659,                 1.3483,                 1.3467,                0.56532,                0.67365,                0.66511,                 0.5238,                0.76032,                 1.3576,                 1.0903,             0.00049506,             0.00049506,             0.00049506
                     31,                0.78616,                 1.3006,                 1.3418,                0.54257,                0.75164,                0.70859,                0.56993,                0.78579,                 1.3899,                 1.0701,             0.00047306,             0.00047306,             0.00047306
                     32,                0.77797,                 1.3133,                 1.3414,                0.56554,                0.70954,                0.73542,                  0.593,                0.72496,                  1.403,                  1.034,             0.00045107,             0.00045107,             0.00045107
                     33,                0.76484,                 1.2891,                 1.3391,                0.54596,                0.71176,                0.64435,                0.54394,                0.70597,                 1.3177,                 1.0338,             0.00042907,             0.00042907,             0.00042907
                     34,                 0.7521,                 1.2471,                 1.3248,                0.65734,                0.72006,                0.77307,                0.62576,                0.76242,                 1.1563,                 1.0612,             0.00040707,             0.00040707,             0.00040707
                     35,                 0.7382,                 1.2253,                 1.3089,                0.68396,                0.67912,                0.74992,                0.60973,                0.75905,                  1.326,                 1.0308,             0.00038507,             0.00038507,             0.00038507
                     36,                0.76272,                 1.2267,                  1.322,                0.71373,                0.70089,                0.80251,                0.63661,                0.71339,                 1.2293,                 1.0183,             0.00036307,             0.00036307,             0.00036307
                     37,                0.72324,                 1.1891,                 1.2896,                0.72088,                0.69331,                0.80121,                0.64862,                0.74422,                 1.1337,                 1.0402,             0.00034108,             0.00034108,             0.00034108
                     38,                0.73423,                 1.1726,                 1.3031,                 0.7876,                0.69356,                0.81278,                0.66842,                 0.7055,                 1.1111,                      1,             0.00031908,             0.00031908,             0.00031908
                     39,                0.72984,                 1.1607,                 1.2854,                0.78277,                0.68709,                0.80627,                0.64496,                0.79495,                 1.2568,                 1.0678,             0.00029708,             0.00029708,             0.00029708
                     40,                0.70851,                 1.1208,                  1.274,                0.81057,                 0.7686,                 0.8277,                0.68664,                0.65902,                 1.0382,                0.96782,             0.00027508,             0.00027508,             0.00027508
                     41,                0.68002,                 1.0769,                 1.2761,                0.66981,                0.75471,                0.75228,                0.59321,                0.71783,                 1.5165,                 1.0059,             0.00025309,             0.00025309,             0.00025309
                     42,                0.61473,                0.94364,                 1.2305,                0.84213,                0.67413,                0.82478,                0.65799,                0.71165,                 1.1272,                0.99162,             0.00023109,             0.00023109,             0.00023109
                     43,                 0.6085,                0.89313,                 1.2143,                0.76958,                0.70222,                0.82058,                0.65818,                0.71235,                 1.2456,                 1.0142,             0.00020909,             0.00020909,             0.00020909
                     44,                0.56855,                0.86423,                 1.1901,                0.66682,                0.75772,                0.80248,                0.66691,                 0.6705,                 1.2275,                0.96867,             0.00018709,             0.00018709,             0.00018709
                     45,                 0.5982,                0.83423,                 1.2177,                0.78204,                0.77098,                0.83383,                0.67859,                0.64756,                 1.0606,                0.95284,             0.00016509,             0.00016509,             0.00016509
                     46,                0.57275,                0.81211,                 1.1761,                0.66691,                0.76593,                0.81211,                0.67125,                0.66752,                 1.3051,                0.96051,              0.0001431,              0.0001431,              0.0001431
                     47,                0.55331,                0.77378,                 1.1632,                0.84802,                0.72192,                0.85616,                0.71038,                0.62407,                 1.0898,                0.93334,              0.0001211,              0.0001211,              0.0001211
                     48,                0.54908,                0.76188,                 1.1612,                0.76619,                0.79495,                0.86146,                0.72412,                0.63375,                 1.0281,                0.92202,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.51288,                0.73328,                 1.1328,                0.81953,                0.76294,                0.87261,                0.73595,                0.61683,                 1.0177,                0.91672,             7.7103e-05,             7.7103e-05,             7.7103e-05
